CSN U12 Masculin;2025-2026;;;;;;;
id;weekday;date;time;home team;away team;arena;score;attendance
17;Tuesday;2026-06-30;00:00:00;ASBC Alpha Bucuresti Alb;ACS Primo Mega Ball Pitesti 1;;0-0;
18;Tuesday;2026-06-30;00:00:00;CSS Giurgiu;ACS U-BT Cluj-Napoca Alb;;0-0;
19;Tuesday;2026-06-30;00:00:00;CSU Andu Sibiu Alb;ACS Dan Dacian Bucuresti Negru;;0-0;
20;Tuesday;2026-06-30;00:00:00;ABC Slam Bucuresti Alb;ACS Champions Bucuresti;;0-0;
21;Tuesday;2026-06-30;00:00:00;ACS Dan Dacian Bucuresti Negru;ABC Slam Bucuresti Alb;;0-0;
22;Tuesday;2026-06-30;00:00:00;ACS Champions Bucuresti;CSS Giurgiu;;0-0;
23;Tuesday;2026-06-30;00:00:00;ACS Energy Basketball Academy Targu Jiu Alb;CSU Andu Sibiu Alb;;0-0;
24;Tuesday;2026-06-30;00:00:00;ACS Primo Mega Ball Pitesti 1;CS Sport Star Timisoara;;0-0;
25;Tuesday;2026-06-30;00:00:00;ACS U-BT Cluj-Napoca Alb;ASBC Alpha Bucuresti Alb;;0-0;
16;Tuesday;2026-06-30;00:00:00;CSS Targoviste;ACS SB Horatiu Giurgiu Bucuresti 1;;0-0;
17;Tuesday;2026-06-30;00:00:00;CS Valcea 1924 Ramnicu Valcea Rosu;ACS U-BT Cluj-Napoca Negru;;0-0;
19;Tuesday;2026-06-30;00:00:00;ABC Rising Stars Popesti-Leordeni Albastru;ACS Dan Dacian Bucuresti Portocaliu;;0-0;
20;Tuesday;2026-06-30;00:00:00;ACS Ingerasii din Banie Craiova;ACS Cormoran Constanta Alb;;0-0;
21;Tuesday;2026-06-30;00:00:00;ACS Dan Dacian Bucuresti Portocaliu;ACS Ingerasii din Banie Craiova;;0-0;
23;Tuesday;2026-06-30;00:00:00;ACS SB Horatiu Giurgiu Bucuresti 1;ABC Rising Stars Popesti-Leordeni Albastru;;0-0;
24;Tuesday;2026-06-30;00:00:00;ACS U-BT Cluj-Napoca Negru;CSS Targoviste;;0-0;
